Review Title;Review Text;wordcount;titleSentiment;textSentiment;Star Rating;sentimentValue
Sin conexión;Hola desde hace algo más de un mes me pone sin conexión y no sale nada, antes me funcionaba correctamente.;0.21568627450980393;0.0;0.0;1;0.3230580040995061
faltan cosas;Han mejorado la apariencia pero no;0.18627450980392157;0.0;0.0;1;0.305047291092238
Es muy buena lo recomiendo;Andres e puto amoooo;0.029411764705882353;0.5;0.0;1;0.3021502212124817
Version antigua;Me gustana mas la version anterior esta es mas complicada de usar hay gente cambiandosevpor esevmotivo gracias;0.1568627450980392;0.5;0.0;1;0.2996180410299051
Esta bien;Sin ser la biblia.... Esta bien;0.049019607843137254;0.0;0.0;1;0.2932090732926619
Buena;Nada del otro mundo pero han mejorado mucho;0.06862745098039216;1.0;0.0;1;0.28081803644373526
De gran ayuda;Lo malo q necesita de …,pero la app es muy buena;0.21568627450980393;1.0;0.0;1;0.27966618147779027
Muy buena;Estaba más acostumbrado al otro diseño, pero es cosa de acostunbrarse .. la aplicación es escépcional;0.14705882352941177;1.0;0.0;1;0.2778715637681544
Ta to guapa.;Va de escándalo;0.19607843137254902;1.0;0.0;1;0.2727255636178183
Se han corregido;Han corregido muchos fallos pero el diseño es contrario al pedido por Google;0.11764705882352941;0.0;0.0;1;0.2668282081160656
Parece que va mejor.;No se cuelga tanto;0.029411764705882353;1.0;0.0;1;0.2604167186950826
Dice q hay una nueva versión?;Xq no me sale la opción de actualizarla entonces?;0.0784313725490196;0.0;0.0;1;0.25951816414419193
Útil;Falta opción;0.029411764705882353;1.0;0.0;1;0.2504779054583147
Me indica una nueva version;Dice que existe una nueva version, pero no sale actualizacion, e probado a borrarla y volver a instalarla, pero el mensaje sigue apareciendo;0.21568627450980393;0.0;0.0;1;0.22987943413860656
No me funciona;Mui buena pero a veces no acen;0.12745098039215685;0.0;0.0;1;0.21533829561156476
Hay que mejorar;No funcionan las notificaciones, y deberían… Por lo demás correcto;0.18627450980392157;1.0;0.0;1;0.21266001502205603
Muy bien ..pero;…;0.24509803921568626;0.0;0.0;1;0.21151239355359375
No va;Pero esta bloqueado y no me funciona;0.058823529411764705;1.0;0.0;1;0.21011296742348382
Bien;No es precisa del todo;0.0392156862745098;1.0;0.0;1;0.18066214319496526
Bastante bien;Muy útil, pero hay …;0.20588235294117646;1.0;0.0;1;0.1787495495361868
Muy buena idea;Aun faltan muchos;0.11764705882352941;1.0;0.0;1;0.1481361566920657
No remata...;En que se basa?...no termina de cuadrarme...;0.058823529411764705;0.0;0.0;1;0.1438421551152915
Note 3;Esta bien la aplicación pero se nota k....sin mas comentarios.;0.16666666666666666;0.0;0.0;1;0.14043616839588688
Es buena;No me deja;0.029411764705882353;1.0;0.0;1;0.08943795513241488
Ya funciona;Errores corregidos.;0.00980392156862745;1.0;0.0;1;0.0
Sobre permisos;Permisos a tus fotos, llamadas, conexiones wifi, etc. No nos damos cuenta pero con toda la info. que compartimos con estas apk. Nos pueden quitar nuestra intimidad. Apk borrada.;0.27450980392156865;1.0;1.0;1;0.4302688995302333
identificacion de user;Estaría bien que cada. Cuando tienes más de una no pone a cual corresponde y;0.28431372549019607;0.0;1.0;2;0.39953694514824495
Fantastica;Aunque todo es mejorable le doy estrellas por su enorme utilidad…;0.6078431372549019;1.0;1.0;2;0.39941669015015124
Ojo!;Lo tengo desde hace meses, pero en la actualización de hoy 1 de mayo de 2015 mi antiviruslo ha detectado como aplicación potencialmente peligrosa y lo he desinstalado.;0.3137254901960784;0.0;1.0;2;0.3873510427474814
Bastante útil y fácil de utilizar;Me ayuda bastante y la gente, a …;0.3235294117647059;1.0;1.0;2;0.37443445378325857
Buena app, pero;Buena app, pero…;0.7352941176470589;0.5;0.0;2;0.3575633127524973
Separar las islas!!!;Porfa separen …;0.3235294117647059;0.0;0.0;2;0.3110392579048795
vuelve a funcionar;Vuelve a funcionar como debe de ser. La tenemos que cuidar y actualizar todos. …;0.3431372549019608;0.0;0.0;2;0.2998435274770256
Demasiados feaute;A ver......tiene muchísimos ….no mola nada;0.6078431372549019;0.0;0.0;2;0.2949335070748063
Bien;Se podría mejorar haciendo uso del ,,,;0.43137254901960786;1.0;0.0;2;0.27588001028036113
Mucho que mejorar;La interfaz de usuario es pésima, no hay por donde cogerla. Lo ideal sería seguir Material Design de Google y no perder el tiempo con interfaces feas.;0.2549019607843137;1.0;0.0;2;0.2719991695122837
No pude FINALIZAR!!!!;La APP no se cierra nunca. … Tengo que desinstalarla y reinstalarla cada vez que quiera usarla;0.30392156862745096;0.0;0.0;2;0.2393677433841493
No te hacen caso;No veo lógico ni competitivo ni de calidad…;1.0;0.0;0.0;2;0.10272451999550598
Avitar;…;0.20588235294117646;0.0;1.0;2;0.42037351083675156
Donde esta el Catalán;Con eso esta dicho todo. Y quede claro que no tengo nada contra el idioma de Cervantes (no como otros).;0.18627450980392157;1.0;1.0;2;0.4212916243981104
Imprescindible;Desde que la tengo hace meses que no…;0.2549019607843137;1.0;1.0;2;0.4241522107849485
Util;Funciona bien,…;0.0784313725490196;0.5;1.0;3;0.4086645350449539
vale la pena;A mi me … la encuentro genial.;0.11764705882352941;1.0;1.0;3;0.40812684303416114
Genial;Por lo menos …;0.13725490196078433;1.0;1.0;3;0.40686069308316103
Excelente;Te …mucho;0.0196078431372549;1.0;1.0;3;0.4043123118077911
Por fin algo bueno;Esto es lo que hacía falta;0.049019607843137254;1.0;1.0;3;0.4020955389013739
Fiable;Es fiable la aplicación ya lo e comprobado y la recomiendo solo q tarda…;0.18627450980392157;1.0;1.0;3;0.3996923253435161
Muy práctica;Interesante y funcional;0.0196078431372549;1.0;1.0;3;0.39901945153205376
Ahora ya funciona;Ahora ya funciona mejor pero la…;0.11764705882352941;1.0;1.0;3;0.39812478986406075
Muy Útil;Me ….;0.0784313725490196;1.0;1.0;3;0.39739517967594873
Oki;Mola;0.0;1.0;1.0;3;0.3957738940057354
Mola;Mola;0.0;1.0;1.0;3;0.3957738940057354
A por ellos;Hay que…;0.0392156862745098;1.0;1.0;3;0.39480703045410404
Muy buena;Mola mucho;0.00980392156862745;1.0;1.0;3;0.3946600643211765
Buena aplicacion;Buena ayuda para u;0.058823529411764705;1.0;1.0;3;0.3941615450578868
Fiable;Las notificaciones….;0.13725490196078433;1.0;1.0;3;0.3934422951873954
Su fin lo cumple;La aplicación es bastante buena para lo que es,;0.21568627450980393;1.0;1.0;3;0.39271404399636695
Muy buena;Ayuda mucho …;0.029411764705882353;1.0;1.0;3;0.3916173896496732
por la red;Hay veces que bien otras que t;0.0784313725490196;1.0;1.0;3;0.3914446375238257
Muy buena;Avisa de todo;0.0196078431372549;1.0;1.0;3;0.3913905728756316
Muy útil;Muy útil. Si vais a;0.06862745098039216;1.0;1.0;3;0.39132046436021595
Me gusta;Es una buena herramienta para…;0.08823529411764706;0.5;1.0;3;0.39081094775110586
relajada;Da gusto estar …;0.049019607843137254;1.0;1.0;3;0.3902063268675133
Muy util;…;0.0196078431372549;1.0;1.0;3;0.38987885525516613
La idea esta bien;Hecho en falta un interface;0.17647058823529413;0.0;1.0;3;0.3859424676176631
bien;B;0.0;1.0;1.0;3;0.38559644907214213
Esta muy bien.;.;0.0;1.0;1.0;3;0.38559644907214213
👍;😂👍;0.0;0.5;1.0;3;0.38559644907214213
Buenísima;A.,,;0.0;0.5;1.0;3;0.38559644907214213
Y;Ole;0.0;1.0;1.0;3;0.3798502479781445
ES MUY BUENA;A…;0.0;1.0;1.0;3;0.3723803145496367
Ahora va genial;Se han solucionado los problemas todo bien;0.058823529411764705;1.0;1.0;3;0.3697867328648973
Muy buena;Esta chevere;0.00980392156862745;1.0;1.0;3;0.36819276080984226
Es activa;Es activo e…;0.0392156862745098;1.0;1.0;3;0.36630965315761477
Me gusta;Vai moi ben.vestrelas;0.029411764705882353;1.0;1.0;1;0.36463191789143645
Parece que mejoró.;Ya parece que conecta.;0.029411764705882353;0.0;1.0;3;0.36461650797975265
Buena;Interfaz horrible pero con buenas aportaciones. Deberian incluir que;0.1568627450980392;1.0;1.0;3;0.36434085764508084
Si pero con mejoras;…;0.21568627450980393;0.0;0.0;3;0.35660737039579443
muy bueno;Cuabta más mejor;0.029411764705882353;1.0;0.0;1;0.3545627624879542
Muy bueno;…;0.11764705882352941;1.0;0.0;1;0.3479010359399951
Le doy por ahora;Es buena app y muy aconsejable, pero mejorable no funciona la;0.10784313725490197;0.0;0.0;1;0.3466273545433789
Maravilloso;Para q no;0.049019607843137254;1.0;0.0;1;0.3449045350907744
Funcionaba pero;La año funcionaba perfectamente tras la tercera actualización no funciona en mi wiko rainbow;0.12745098039215685;0.0;0.0;1;0.3429582943246696
Una pena;La nueva versión … de la vaca.;0.058823529411764705;0.5;0.0;1;0.33921735727887026
Problema;Me funcionaba perfectamente, y era super util, ahora derrepente no funciona, me dice que hay un error. Probe a desinstalarlo e instalarlo de nuevo y nada.Es una pena;0.2647058823529412;1.0;0.0;3;0.3374534547219194
No functiona;Tenéis que ponerlo a punto;0.0392156862745098;0.0;0.0;1;0.3314950240133642
Muy practico;esta muy bien, si de…;0.21568627450980393;1.0;0.0;3;0.3302153266915706
Bien;Se actualiza la;0.058823529411764705;1.0;0.0;1;0.3268016372307856
Aplicación aceptable;Buena pero muy mejorable;0.029411764705882353;0.0;0.0;1;0.3267193552420025
No funciona bien y va muy lento;Fuera de mi casa sin wifi funciona fatal por eso estrellas y haber si arreglais las interferencias;0.16666666666666666;0.0;0.0;1;0.32172340295576224
Muy buena;Buenas tardes necesito saber como hago para que…;0.18627450980392157;0.5;1.0;3;0.41111627303155107
diversos.;La nueva actualización, trae ;0.0392156862745098;1.0;1.0;3;0.4117071386595255
buena arma;Muyyyyy util y beneficiosa;0.029411764705882353;1.0;1.0;3;0.41450803094894106
Impresionante.;Han corregido errores y han conseguido una aplicación muy muy buena. Buen trabajo chavales, gracias y a seguir mejorando.;0.17647058823529413;1.0;1.0;3;0.417044483070698
Practica;Resulta practica y util, sobre todo en;0.1568627450980392;1.0;1.0;3;0.4171740695921911
MUY BUENO!!!!;Facil para;0.10784313725490197;1.0;1.0;3;0.41803744812165267
Siempre;Siempre es mejorable;0.0196078431372549;1.0;1.0;3;0.41848361463760236
Perfecto;Ole las buenas aplicaciones para ;0.0784313725490196;1.0;1.0;3;0.4195857040230849
Actualización arreglada;Ya funciona correctamente de nuevo;0.0392156862745098;1.0;1.0;3;0.42287357051600943
Buena;La han reparado y funciona bien;0.049019607843137254;1.0;1.0;3;0.4249423261223804
Excelente y muy buena;Sigan así;0.00980392156862745;1.0;1.0;3;0.4255031929823008
Buena App;Muy util para;0.16666666666666666;1.0;1.0;3;0.42972798094435044
Buena aplicación;Sitio donde ;0.029411764705882353;0.5;1.0;3;0.43341898342097757
Hay que hacerla sencillas de usar;Falta desarrollo pero es buena sin duda. Si funcionara con el de;0.13725490196078433;1.0;1.0;3;0.4346752282003599
Va muy bien;Fenomenal para;0.0392156862745098;1.0;1.0;3;0.4354186953744147
Útil...;Funciona bien..un 9 .;0.029411764705882353;0.5;1.0;3;0.4355404998824115
Bien;Bien;0.0;1.0;1.0;3;0.43825095224561045
Buena;…;0.0;1.0;1.0;3;0.4384747824774456
Gran aplicación;Te tiene al;0.049019607843137254;1.0;1.0;3;0.4392499610198089
Perfecto;Hace lo que dice, va bien;0.049019607843137254;1.0;1.0;3;0.4398239070509641
Muy precisa;Correcta en sus puntos;0.029411764705882353;1.0;1.0;3;0.44163483202254156
Ayuda;Falta precisar;0.14705882352941177;1.0;1.0;3;0.44512953305833464
es maravillosa;si todo el;0.10784313725490197;1.0;1.0;3;0.4471478726422308
Esta muy bien;Sobre todo para los que;0.0784313725490196;1.0;1.0;3;0.44921880279906057
Muy practico;Mientras nos tomemos;0.09803921568627451;1.0;1.0;3;0.45022152772029045
Interesante y eficaz;Vale la pena descargarla;0.029411764705882353;1.0;1.0;3;0.4537383685441573
Increíble;…;0.06862745098039216;1.0;1.0;3;0.45386092110513504
Espero que;Espero que con esta nueva actualización vuelva a sus origenes. Recomendable;0.09803921568627451;1.0;1.0;3;0.45500090749453564
estupendo ya corregido;mejor que las que e privado;0.049019607843137254;1.0;1.0;3;0.45538998790851626
¡Práctico!;Dependes de la;0.09803921568627451;1.0;1.0;3;0.46166237801232984
Es buena,a mejorar!!!;Si avisara por;0.06862745098039216;1.0;1.0;3;0.4620321917662653
Muy buena apk.;Perffectoo....;0.0;1.0;1.0;3;0.4628533862589676
Ahora si;Por fin an puesto por;0.08823529411764706;1.0;1.0;3;0.46448636255139286
Muy buena;Util;0.0;0.5;1.0;3;0.46451728171561035
Me gusta;Es una ayuda;0.0196078431372549;0.5;1.0;3;0.46457998200645245
Jose;Es verdad lo que cuenta...;0.0392156862745098;0.0;1.0;3;0.4652531655741118
eficaz;A mi me gusta.si;0.20588235294117646;1.0;1.0;3;0.46649895359784027
Buenisima!;Muy precisa;0.00980392156862745;1.0;1.0;3;0.4668677978513628
Buena;Muy bueno;0.00980392156862745;1.0;1.0;3;0.7837439901724189
Recomendable;Recomendable;0.0;1.0;1.0;3;0.8610954625450916
Ahora si va mucho mejor;La nueva actualización funciona bien. Ahora sí;0.058823529411764705;1.0;1.0;4;0.43016771608566523
Ahora si. Todo perfecto;Es muy útil y funciona muy bien. El único problema que tenia es que no me funcionaba…;0.3627450980392157;1.0;1.0;2;0.4355195461050749
Muy util;Pero lo ideal solo seria…;0.47058823529411764;1.0;1.0;2;0.43711429096730253
Ahora va muy bien.;Hace tiempo se hizo una actualización con la cual dejaba de funcionar, ahora han vuelto a actualizarlo y vuelve a funcionar como antes, perfectamente, muchas gracias.;0.2647058823529412;1.0;1.0;2;0.4392001787873894
No esta nada mal;Soy de y tiene bastantes…;0.5;0.0;1.0;2;0.4457207406176367
Practica;Muy util para los que…;0.1568627450980392;0.5;1.0;4;0.44680212053885976
Es una gran aplicacion!;Es muy practica para aquellos que;0.3235294117647059;1.0;1.0;2;0.44955619693598314
Mucho mejor;Seguid así, la aplicacion ha mejorado mucho desd aquella actualizacion q casi se la carga. Ahora es todo configurable, ademas de ser mas rapido el funcionamiento.;0.47058823529411764;1.0;1.0;2;0.4517716798304178
Me gusta pero........;le dare las 5 estrellas, cuando consiga…;0.14705882352941177;0.0;1.0;4;0.4535572001516509
Ahora si;Haber kon anterioridad le di 1 * xke su version no me gustaba la veia un poko…;0.4019607843137255;1.0;1.0;2;0.4584981415244449
Buena;Anda ya los;0.20588235294117646;0.5;1.0;4;0.4601043877374989
FUNCIONA;Me funciona bastante bien;0.029411764705882353;1.0;1.0;4;0.4678507590556658
Mal usada;La aplicacion es perfecta. Lo ke veo incorrecto es;0.4019607843137255;0.0;1.0;2;0.46851161006622627
jorge;Gracias a los creadores de la app y a las personas que;0.2549019607843137;1.0;1.0;2;0.4754631488633152
Luis Miguel;Sinceramente es una App,muy buena,la verdad…;0.3333333333333333;1.0;1.0;4;0.48253748486322834
Me meti y me;buena aplicacion espero que no cambie;0.1568627450980392;1.0;1.0;4;0.48320381416880065
Pep Vich;Muy util para la gente q;0.14705882352941177;1.0;1.0;4;0.4960850525824306
Muy útil;Cuando estás tanto tiempo … esta aplicación lo hace. Felicidades.;0.19607843137254902;1.0;1.0;4;0.5031409571525418
Hay que darle;Es muy útil;0.14705882352941177;1.0;1.0;4;0.5034254700312907
Creó que es muy interesante;… lo mínimo es agradecérselo;0.19607843137254902;1.0;1.0;4;0.506283885449857
Estupendo;Va de lujo, para tener;0.19607843137254902;1.0;1.0;4;0.5158596306141356
Está bien;Buena app, habría q depurarla un poco pero van en buen camino.;0.10784313725490197;0.0;1.0;4;0.5449932795239699
Genial;Me parece fantástica me esta siendo súper útil por diversos motivos e intento;0.23529411764705882;1.0;1.0;4;0.5567274849148504
Genial esta versión;Cumple las expectativas y en;0.23529411764705882;1.0;1.0;4;0.5576545401973698
Me encanta!;Buenisima aplicación, la deberían de tener … Muy recomendable.;0.28431372549019607;1.0;1.0;4;0.5680116591321185
Genial!;Una aplicación muy buena, lo único que cambiaría sería … Por lo demás perfecta;0.17647058823529413;1.0;1.0;4;0.5753544881641436
Buena aplica;Aplicacion muy buena y la mejora a sido muy buena!;0.08823529411764706;1.0;1.0;4;0.7859527567915439
Muy buena;Siempre viene bien....;0.029411764705882353;1.0;1.0;5;0.46848191519446536
aora si;Gracias;0.0196078431372549;1.0;1.0;5;0.4713939950627784
Genial;Hasta la fecha … La recomiendo;0.0784313725490196;1.0;1.0;5;0.4723122516859805
Ya funciona;…;0.0;1.0;1.0;5;0.4723486829702542
Hoy por hoy la mejor;La mejor app de … de todas;0.0784313725490196;1.0;1.0;5;0.4730870229543467
Nada mal...muy buena...;…;0.00980392156862745;1.0;1.0;5;0.4781553965219461
Funciona muy bien;Es perfecta,al menos en.;0.0392156862745098;1.0;1.0;5;0.47892656598845557
Ok;Ok;0.0;1.0;1.0;5;0.4849359397637548
Muy buena;A ver si así nos podemos l;0.10784313725490197;1.0;1.0;4;0.48609311736010674
Jose;Tendria q funcionar tambien sin sonido,solo con vibracion;0.06862745098039216;1.0;1.0;5;0.4895250069963819
buenisima;funciona como un tiro indispensable para;0.11764705882352941;1.0;1.0;4;0.49350577931679146
Genial;Va de lujo con la actualzacion;0.049019607843137254;1.0;1.0;5;0.494321823861206
Pésima actualización;Antes iba de lujo, ahora falla siempre;0.058823529411764705;0.0;1.0;5;0.4966293107419739
Muy buena;Después de los últimos arreglos va muy buen, espero que no tropiecen.;0.10784313725490197;1.0;1.0;4;0.5014358829520897
Excelente.!;Realmente útil.!;0.00980392156862745;1.0;1.0;5;0.5067294265877563
Magnifica;Lo mejor;0.00980392156862745;1.0;1.0;5;0.5112755418157152
Excelente;Para saber;0.09803921568627451;1.0;1.0;4;0.5174522363540528
Desde que an Actualizado;Esta muy bien la aplicacion;0.0392156862745098;1.0;1.0;5;0.5188251947669699
Guena;Esta muy bien a ver si es verdad os doy 5 estrellas;0.10784313725490197;1.0;1.0;4;0.5239099862063854
Util a tiempo real;De gran ayuda cuando;0.0392156862745098;0.5;1.0;5;0.5252734009539572
Mejorado;Va mejorando su funcionamiento. Buen trabajo;0.049019607843137254;1.0;1.0;5;0.5272046153855843
Muy buena;Bastante útil para;0.06862745098039216;1.0;1.0;5;0.5276873691691472
Muy util;Me gusta;0.00980392156862745;1.0;1.0;5;0.5282865938495978
Muy buena;La aplicación funciona de maravilla;0.058823529411764705;1.0;1.0;5;0.5284488930727465
Buena aplicacion;Está bien, aun puede mejorar. Gracias un gran trabajo;0.0784313725490196;1.0;1.0;5;0.5299700519906111
muy util;perfecta para…;0.10784313725490197;1.0;1.0;4;0.5307103218845619
Me parece una gran aplicación;Es muy útil para las;0.09803921568627451;1.0;1.0;5;0.5311253450651773
Me a gustado;Buena app para;0.0392156862745098;1.0;1.0;5;0.5318375351206684
Buena;Pues eso....muy buena......;0.0196078431372549;1.0;1.0;5;0.5335879228324122
Muy buena;Aunque orientativa...... Y de buena ayuda;0.049019607843137254;1.0;1.0;5;0.5338969958585366
george;Por ahra util;0.0196078431372549;0.0;1.0;5;0.5339073155413526
Actualización no funciona;Con la nueva actualización q puedes elegir diseño está perfecta;0.08823529411764706;0.0;1.0;5;0.5359109213984358
Perfecta;Ahora está muy bien;0.029411764705882353;1.0;1.0;5;0.5361950554807219
Fantástico;Una estupenda aplicación;0.0196078431372549;1.0;1.0;5;0.5378322209524086
buena;…;0.00980392156862745;0.5;1.0;5;0.5421132849496357
Grande!!;Gran aplicación,;0.00980392156862745;1.0;1.0;5;0.5424009885561509
Muy buena;Especially buenisima;0.00980392156862745;1.0;1.0;5;0.5437516921765642
arreglado;el nuevo update va muy bien.;0.049019607843137254;1.0;1.0;5;0.5511707657350913
Muy buena;Buena aplicación;0.00980392156862745;1.0;1.0;5;0.5532804187947588
Buena.;Buena aplicación.;0.00980392156862745;1.0;1.0;5;0.5532804187947588
Muy buena;Aun la estoy probando pero de momento me gusta;0.0784313725490196;1.0;1.0;5;0.5541695078695197
Perfecta;Por fin. 5 estrellas y cien por cien recomendable;0.0784313725490196;1.0;1.0;5;0.5545753255710142
Muy util;Es muy buena y de utilidad;0.049019607843137254;1.0;1.0;5;0.5597272371928684
Buena;esta muy bien así nos;0.08823529411764706;1.0;1.0;5;0.5639889140915391
buena y necesaria;Perfecta en su fabricacion. Guncioma de diez y;0.10784313725490197;0.5;1.0;4;0.5691007970707022
Buena;Esta muy bien..;0.0196078431372549;1.0;1.0;5;0.5823291565797828
Muy completa;Esta muy bien;0.0196078431372549;0.5;1.0;5;0.5823291565797828
Ahora va bien;Cambios para mejor solucionados muchos problemas .va muy bien la aplicación.gracias;0.09803921568627451;1.0;1.0;4;0.5859575338678349
de utilidad;Muy buena, y muy util para;0.0784313725490196;0.5;1.0;5;0.5883025955322917
Buena herramienta;Me parece genial.;0.0196078431372549;0.5;1.0;5;0.5885120036649534
Magnifica;Es de las mejores app que e probado y es;0.13725490196078433;1.0;1.0;4;0.5890587292443761
Buena;Muy buena app para;0.058823529411764705;1.0;1.0;5;0.5941612450476071
app muy buena;Me parece muy buena y de gran ayuda;0.06862745098039216;1.0;1.0;5;0.5976099935240956
Gran aplicacion;Sencilla de usar y muy util,;0.058823529411764705;1.0;1.0;5;0.6058383474258887
Buena;Es muy buena y muy;0.049019607843137254;1.0;1.0;5;0.611607351322426
Ya funciona;Ya va como empezó, sin problemas, muy útil para los que;0.16666666666666666;1.0;1.0;4;0.6125373182079357
Buena;MUY UTIL. FACIIL MANEJO;0.029411764705882353;1.0;1.0;5;0.6152184973892441
Perfecta;Fenomenal!;0.0;1.0;1.0;5;0.621174423023734
Me gusta;Fenomenal....;0.0;1.0;1.0;5;0.621174423023734
Buena;Muy buena están haciendo un buen trabajo;0.058823529411764705;1.0;1.0;5;0.6226869823417772
Va genial;Lo recomiendo :-);0.0196078431372549;1.0;1.0;5;0.6229929132555538
una makina;muy practico;0.00980392156862745;1.0;1.0;5;0.6282152598318265
Muy util;Es muy util,y muy buena;0.0392156862745098;1.0;1.0;5;0.6297775607263977
bueno;Bueno;0.0;1.0;1.0;5;0.6299190084946135
Muy buena;Con la nueva actualización va de lujo, arreglados todos los fallos, muy buena aplicación;0.12745098039215685;1.0;1.0;4;0.636800802553965
Noe;Una maravilla;0.00980392156862745;1.0;1.0;5;0.6402633165169692
Estupenda!;Una gran ayuda!;0.0196078431372549;1.0;1.0;5;0.6443691790965149
Muy buena aplicacion;Muy bien pensado!!funkciona a!;0.049019607843137254;1.0;1.0;5;0.656686550262206
Simplemente perfecto;Muy útil;0.00980392156862745;1.0;1.0;5;0.6598028419842437
Recomendada;Muy útil!;0.00980392156862745;1.0;1.0;5;0.6598028419842437
Probe y me gustó;Va genial. ...era lo que buscaba;0.049019607843137254;0.5;1.0;5;0.6627112929077573
Me guata bastante.;Funciona muy bien.;0.0196078431372549;0.0;1.0;5;0.6645252495611813
muy buena;m parece una muy buena aplicación facil d interpretar;0.0784313725490196;1.0;1.0;5;0.6659737014225148
ahora si!!!;ahora si,perfecto,gracias!!!!;0.00980392156862745;1.0;1.0;5;0.6675963684758139
Muy buena aplicacion;Funciona muy bien y es muy util;0.058823529411764705;1.0;1.0;5;0.6680227457049385
Genial;De momento va todo genial;0.0392156862745098;1.0;1.0;5;0.6809896612882137
estupenda ami me va genial gracias y sigan mejorandola;estupenda ami me va genial gracias y sigan mej;0.0784313725490196;0.5;1.0;5;0.6865607586477166
Ok;Muy bien;0.00980392156862745;1.0;1.0;5;0.6983823503427677
Muy bien;Muy bien...;0.00980392156862745;0.5;1.0;5;0.6983823503427677
Recomendable;Muy buena aplicación.;0.0196078431372549;1.0;1.0;5;0.705167906476208
Muy buena;Excelente aplicacion. Muy completa con;0.13725490196078433;1.0;1.0;4;0.730238589391258
Genial;Fantástica;0.0;1.0;1.0;5;0.7423779220743321
util;Muy buena me gusta mucho;0.0392156862745098;1.0;1.0;5;0.7504492004359442
Excelente;Muy buena app;0.0196078431372549;1.0;1.0;5;0.7616486562732663
FANTASTICA;Muy buena app;0.0196078431372549;1.0;1.0;5;0.7616486562732663
Necesita mejorar.;Excelente App!;0.00980392156862745;1.0;1.0;5;0.7813325673166703
Encantada;Muy práctica y fácil de usar. 100%recomendable;0.058823529411764705;1.0;1.0;5;0.7818062121000293
Muy buena;Muy buena;0.00980392156862745;1.0;1.0;5;0.7837439901724189
Muy buena;Muy buena;0.00980392156862745;1.0;1.0;5;0.7837439901724189
Muy buena aplicación me encanta;Muy bueno;0.00980392156862745;0.5;1.0;5;0.7837439901724189
Muy buena aplicación;Funciona genial, muy buena aplicación.;0.0392156862745098;1.0;1.0;5;0.7895647222825078
Buena;Estupenda!!!!!!;0.0;1.0;1.0;5;0.8115534011445349
Muy buena;Funciona perfectamente;0.00980392156862745;1.0;1.0;5;0.8250343510132837
Genial;Me encanta;0.00980392156862745;0.5;1.0;5;0.8318791154503438
Excelente;Recomendable;0.0;1.0;1.0;5;0.8610954625450916
Muy buena aplicacion;Muy buena genial;0.0196078431372549;1.0;1.0;5;0.9188311570555852
Buena;Genial;0.0;1.0;1.0;5;0.9386062900026317
Wuau;Genial;0.0;1.0;1.0;5;0.9386062900026317
Muy buena;Genial;0.0;1.0;1.0;5;0.9386062900026317
Sg S5;Excelente y exacta;0.0196078431372549;0.0;1.0;5;1.0
